Label,Aquaintance,Friend,Study,Support,Politics,OldFriend,Grade,LeftRight,Group
685,"['3rt', 'it8', 'i9d', '7mf']","['3rt', 'it8', 'i9d', '7mf']",[],[],[],[],"[('3rt', 3.0), ('it8', 7.0), ('i9d', 3.0), ('7mf', 4.0)]","[('3rt', 4.0), ('it8', 5.0), ('i9d', 5.0), ('7mf', 5.0)]","[('3rt', 1.0), ('it8', 2.0), ('i9d', 1.0), ('7mf', 1.0)]"
zfv,"['rji', 'u5b', '7mf', '3rt', 'i9d', 'cav']","['rji', 'u5b', '7mf', '3rt', 'i9d', 'cav']",['cav'],"['i9d', 'cav']",[],[],"[('rji', 5.0), ('u5b', 5.0), ('7mf', 4.0), ('3rt', 4.0), ('i9d', 4.0), ('cav', 3.0)]","[('rji', 5.0), ('u5b', 4.0), ('7mf', 5.0), ('3rt', 4.0), ('i9d', 4.0), ('cav', 5.0)]","[('rji', 1.0), ('u5b', 1.0), ('7mf', 2.0), ('3rt', 2.0), ('i9d', 2.0), ('cav', 3.0)]"
8st,[],[],[],[],[],[],[],[],[]
fzt,['twg'],['twg'],[],[],[],[],"[('twg', 2.0)]","[('twg', 4.0)]","[('twg', 1.0)]"
twg,['fzt'],['fzt'],[],[],[],[],"[('fzt', 1.0)]","[('fzt', 5.0)]","[('fzt', 1.0)]"
9jr,"['8lm', '3dg', 'joy', 'm7x', 'om3']","['8lm', '3dg', 'joy']",[],['8lm'],[],[],"[('8lm', 4.0), ('3dg', 2.0), ('joy', 3.0), ('m7x', 4.0), ('om3', 4.0)]","[('8lm', 6.0), ('3dg', 5.0), ('joy', 5.0), ('m7x', 6.0), ('om3', 6.0)]","[('8lm', 1.0), ('3dg', 1.0), ('joy', 2.0), ('m7x', 3.0), ('om3', 3.0)]"
8bz,"['kq7', 'g8f']","['kq7', 'g8f']",[],[],[],[],"[('kq7', 4.0), ('g8f', 4.0)]","[('kq7', 0.0), ('g8f', 0.0)]","[('kq7', 1.0), ('g8f', 2.0)]"
87a,['is2'],['is2'],[],[],[],[],"[('is2', 1.0)]","[('is2', 3.0)]","[('is2', 1.0)]"
vbh,[],[],[],[],[],[],[],[],[]
8lm,"['3dg', '9jr', 'm7x', 'om3', 'joy']","['3dg', '9jr', 'm7x']",[],['9jr'],[],[],"[('3dg', 1.0), ('9jr', 2.0), ('m7x', 3.0), ('om3', 3.0), ('joy', 4.0)]","[('3dg', 5.0), ('9jr', 5.0), ('m7x', 4.0), ('om3', 4.0), ('joy', 6.0)]","[('3dg', 1.0), ('9jr', 1.0), ('m7x', 2.0), ('om3', 2.0), ('joy', 3.0)]"
3s1,"['44p', 'qdi', '1cb', 'cx9']","['44p', 'qdi', '1cb']","['44p', 'qdi', '1cb', 'cx9']","['44p', 'qdi', '1cb']","['qdi', '1cb', 'cx9']",[],"[('44p', 5.0), ('qdi', 5.0), ('1cb', 3.0), ('cx9', 6.0)]","[('44p', 1.0), ('qdi', 3.0), ('1cb', 3.0), ('cx9', 2.0)]","[('44p', 1.0), ('qdi', 1.0), ('1cb', 1.0), ('cx9', 1.0)]"
m7x,"['8lm', '3dg', 'om3', 'yc4']","['8lm', 'om3', 'yc4']",['3dg'],[],[],[],"[('8lm', 4.0), ('3dg', 4.0), ('om3', 4.0), ('yc4', 4.0)]","[('8lm', 3.0), ('3dg', 3.0), ('om3', 3.0), ('yc4', 3.0)]","[('8lm', 3.0), ('3dg', 2.0), ('om3', 1.0), ('yc4', 1.0)]"
e30,"['udo', 'm80']",[],['m80'],['udo'],[],[],"[('udo', 4.0), ('m80', 4.0)]","[('udo', 4.0), ('m80', 8.0)]","[('udo', 1.0), ('m80', 1.0)]"
26o,"['bty', '1ey', 'yyj', 'jjt', '1uq', '5sz', 'ej8', '1zx', '4w0', 'ayq']","['bty', '1ey', 'yyj', 'jjt', '1uq', '5sz', 'ej8', '1zx', '4w0', 'ayq']","['bty', '1zx', '4w0']","['bty', '1zx', '4w0']","['bty', '1zx', '4w0']",[],"[('bty', 7.0), ('1ey', 8.0), ('yyj', 6.0), ('jjt', 3.0), ('1uq', 5.0), ('5sz', 7.0), ('ej8', 0.0), ('1zx', 6.0), ('4w0', 4.0), ('ayq', 7.0)]","[('bty', 3.0), ('1ey', 9.0), ('yyj', 2.0), ('jjt', 7.0), ('1uq', 8.0), ('5sz', 4.0), ('ej8', 6.0), ('1zx', 4.0), ('4w0', 4.0), ('ayq', 1.0)]","[('bty', 1.0), ('1ey', 2.0), ('yyj', 2.0), ('jjt', 1.0), ('1uq', 2.0), ('5sz', 2.0), ('ej8', 2.0), ('1zx', 1.0), ('4w0', 1.0), ('ayq', 2.0)]"
6qi,[],[],[],[],[],[],[],[],[]
4og,"['e8i', 'poi', 'erw', 'fle', 'f7n', '2wb', 'ty0', 'iy3', 'pdp', 'zit']","['e8i', 'poi', 'erw', 'fle', 'f7n', '2wb']",[],"['e8i', 'poi', 'erw', 'fle', 'f7n', '2wb']",[],[],"[('e8i', 3.0), ('poi', 0.0), ('erw', 3.0), ('fle', 7.0), ('f7n', 4.0), ('2wb', 6.0), ('ty0', 0.0), ('iy3', 0.0), ('pdp', 0.0), ('zit', 0.0)]","[('e8i', 2.0), ('poi', 0.0), ('erw', 2.0), ('fle', 4.0), ('f7n', 2.0), ('2wb', 2.0), ('ty0', 0.0), ('iy3', 0.0), ('pdp', 0.0), ('zit', 0.0)]","[('e8i', 1.0), ('poi', 1.0), ('erw', 1.0), ('fle', 1.0), ('f7n', 1.0), ('2wb', 1.0)]"
0v6,['4z1'],['4z1'],['4z1'],['4z1'],['4z1'],[],"[('4z1', 5.0)]","[('4z1', 5.0)]","[('4z1', 1.0)]"
i8x,['n64'],['n64'],[],['n64'],[],[],"[('n64', 6.0)]","[('n64', 3.0)]","[('n64', 1.0)]"
vpi,"['poi', 'ras', 'ljz', 'go4', 'fsu']","['poi', 'ras', 'ljz', 'go4', 'fsu']","['poi', 'ras', 'ljz', 'go4']","['poi', 'ras', 'ljz', 'go4', 'fsu']","['poi', 'ras', 'ljz', 'go4']",[],"[('poi', 3.0), ('ras', 3.0), ('ljz', 3.0), ('go4', 3.0), ('fsu', 4.0)]","[('poi', 5.0), ('ras', 5.0), ('ljz', 4.0), ('go4', 4.0), ('fsu', 5.0)]","[('poi', 1.0), ('ras', 1.0), ('ljz', 1.0), ('go4', 1.0), ('fsu', 1.0)]"
f07,"['klf', 'hyf', 'msn']","['klf', 'hyf', 'msn']","['klf', 'hyf']","['hyf', 'msn']",[],['klf'],"[('klf', 7.0), ('hyf', 7.0), ('msn', 4.0)]","[('klf', 7.0), ('hyf', 2.0), ('msn', 5.0)]","[('klf', 1.0), ('hyf', 2.0), ('msn', 1.0)]"
it8,"['3rt', '685', '7mf']",['685'],[],"['3rt', '7mf']",[],[],"[('3rt', 3.0), ('685', 5.0), ('7mf', 3.0)]","[('3rt', 4.0), ('685', 5.0), ('7mf', 5.0)]","[('3rt', 1.0), ('685', 1.0), ('7mf', 1.0)]"
go4,"['poi', 'vpi', 'ras', 'ljz', 'fsu', 'uqn']","['poi', 'vpi', 'ras', 'ljz', 'fsu', 'uqn']","['vpi', 'ras']","['poi', 'vpi', 'ras', 'ljz', 'fsu', 'uqn']","['poi', 'vpi', 'ras', 'ljz']",[],"[('poi', 0.0), ('vpi', 0.0), ('ras', 0.0), ('ljz', 0.0), ('fsu', 0.0), ('uqn', 0.0)]","[('poi', 3.0), ('vpi', 4.0), ('ras', 3.0), ('ljz', 3.0), ('fsu', 3.0), ('uqn', 4.0)]","[('poi', 1.0), ('vpi', 1.0), ('ras', 1.0), ('ljz', 1.0), ('fsu', 1.0), ('uqn', 1.0)]"
yby,[],[],[],[],[],[],[],[],[]
4z1,['0v6'],['0v6'],['0v6'],[],['0v6'],[],"[('0v6', 3.0)]","[('0v6', 3.0)]","[('0v6', 1.0)]"
h3h,"['u5b', 'i9d', '30d', 'oae', 'rji', 'poi', 'cx9', 'nre', 'n64', '8ke', 'bjp', 'l7r']","['u5b', 'i9d', '30d', 'rji', 'cx9', 'nre', 'n64', '8ke', 'bjp', 'l7r']",[],"['oae', 'poi']",[],[],"[('u5b', 0.0), ('i9d', 0.0), ('30d', 0.0), ('oae', 0.0), ('rji', 0.0), ('poi', 0.0), ('cx9', 0.0), ('nre', 0.0), ('n64', 0.0), ('8ke', 0.0), ('bjp', 0.0), ('l7r', 0.0)]","[('u5b', 4.0), ('i9d', 4.0), ('30d', 3.0), ('oae', 3.0), ('rji', 4.0), ('poi', 0.0), ('cx9', 3.0), ('nre', 3.0), ('n64', 3.0), ('8ke', 2.0), ('bjp', 4.0), ('l7r', 4.0)]","[('u5b', 1.0), ('i9d', 1.0), ('30d', 1.0), ('oae', 1.0), ('rji', 1.0), ('poi', 2.0), ('cx9', 2.0), ('nre', 2.0), ('n64', 2.0), ('8ke', 1.0), ('bjp', 1.0), ('l7r', 1.0)]"
9sx,[],[],[],[],[],[],[],[],[]
pkl,"['oae', 'zme']",['oae'],[],[],[],[],"[('oae', 7.0), ('zme', 7.0)]","[('oae', 5.0), ('zme', 5.0)]","[('oae', 1.0), ('zme', 1.0)]"
0dz,[],[],[],[],[],[],[],[],[]
jne,[],[],[],[],[],[],[],[],[]
zme,"['oae', 'pkl']",['oae'],[],[],"['oae', 'pkl']",['oae'],"[('oae', 6.0), ('pkl', 6.0)]","[('oae', 6.0), ('pkl', 4.0)]","[('oae', 12.0), ('pkl', 2.0)]"
bjp,"['cx9', 'rji', '8ke', 'l7r', 'u5b']","['cx9', 'rji', '8ke', 'l7r', 'u5b']",[],['l7r'],[],[],"[('cx9', 7.0), ('rji', 8.0), ('8ke', 4.0), ('l7r', 9.0), ('u5b', 6.0)]","[('cx9', 4.0), ('rji', 3.0), ('l7r', 3.0), ('u5b', 4.0)]","[('cx9', 2.0), ('rji', 1.0), ('8ke', 1.0), ('l7r', 1.0), ('u5b', 1.0)]"
zit,"['pdp', 'fle', 'w10', 't6m', '3ue', '6t0', 'c38', '07h', '5or', '2g7', 'j0g', 'w9x', 'xfz', 'gd8']","['pdp', 'fle', 'w10', 't6m', '3ue', '6t0', 'c38', '07h', '5or', '2g7', 'j0g', 'w9x', 'xfz', 'gd8']","['fle', '2g7', 'j0g', 'w9x', 'xfz']","['2g7', 'j0g', 'w9x', 'gd8']","['j0g', 'xfz']",[],"[('pdp', 0.0), ('fle', 5.0), ('w10', 0.0), ('t6m', 0.0), ('3ue', 0.0), ('6t0', 0.0), ('c38', 0.0), ('07h', 0.0), ('5or', 6.0), ('2g7', 5.0), ('j0g', 3.0), ('w9x', 2.0), ('xfz', 6.0), ('gd8', 7.0)]","[('pdp', 0.0), ('fle', 5.0), ('w10', 0.0), ('t6m', 0.0), ('3ue', 0.0), ('6t0', 0.0), ('c38', 0.0), ('07h', 0.0), ('5or', 0.0), ('2g7', 5.0), ('j0g', 4.0), ('w9x', 5.0), ('xfz', 6.0), ('gd8', 5.0)]","[('pdp', 3.0), ('fle', 1.0), ('w10', 2.0), ('t6m', 2.0), ('3ue', 2.0), ('6t0', 2.0), ('c38', 3.0), ('07h', 3.0), ('5or', 3.0), ('2g7', 1.0), ('j0g', 1.0), ('w9x', 1.0), ('xfz', 1.0), ('gd8', 1.0)]"
e6v,"['6vf', '98q', 'n64']",['6vf'],[],['6vf'],[],[],"[('6vf', 0.0), ('98q', 0.0), ('n64', 0.0)]","[('6vf', 7.0), ('98q', 4.0), ('n64', 3.0)]","[('6vf', 1.0), ('98q', 2.0), ('n64', 2.0)]"
2wb,"['f7n', 'e8i', 'poi', '4og', 'erw', 'iy3', 'pdp']","['f7n', 'e8i', 'poi', '4og', 'erw', 'iy3', 'pdp']","['f7n', 'e8i', 'poi', '4og', 'erw']","['f7n', 'e8i', 'poi', '4og', 'erw', 'iy3', 'pdp']",[],[],"[('f7n', 1.0), ('e8i', 1.0), ('poi', 1.0), ('4og', 1.0), ('erw', 1.0), ('iy3', 1.0), ('pdp', 1.0)]","[('f7n', 3.0), ('e8i', 4.0), ('poi', 4.0), ('4og', 4.0), ('erw', 3.0), ('iy3', 3.0), ('pdp', 1.0)]","[('f7n', 1.0), ('e8i', 1.0), ('poi', 2.0), ('4og', 1.0), ('erw', 1.0), ('iy3', 2.0), ('pdp', 2.0)]"
40m,[],[],[],[],[],[],[],[],[]
wto,"['7w1', 'r3x']","['7w1', 'r3x']",[],[],[],[],"[('7w1', 8.0), ('r3x', 8.0)]","[('7w1', 2.0), ('r3x', 3.0)]","[('7w1', 1.0), ('r3x', 1.0)]"
7w1,"['r3x', 'wto', 'qip']","['r3x', 'wto', 'qip']","['r3x', 'wto', 'qip']","['r3x', 'wto', 'qip']","['r3x', 'wto', 'qip']","['r3x', 'wto', 'qip']","[('r3x', 6.0), ('wto', 6.0), ('qip', 6.0)]","[('r3x', 3.0), ('wto', 3.0), ('qip', 3.0)]","[('r3x', 1.0), ('wto', 1.0), ('qip', 1.0)]"
ff5,['tz9'],['tz9'],['tz9'],['tz9'],['tz9'],['tz9'],"[('tz9', 4.0)]","[('tz9', 5.0)]","[('tz9', 1.0)]"
zda,"['pdp', 'iy3', 'f07']","['pdp', 'iy3', 'f07']",[],[],[],[],"[('pdp', 4.0), ('iy3', 4.0), ('f07', 2.0)]","[('pdp', 2.0), ('iy3', 3.0), ('f07', 4.0)]","[('pdp', 1.0), ('iy3', 1.0), ('f07', 2.0)]"
1a7,"['8ke', '3z0', '98q']",[],[],[],['3z0'],['8ke'],"[('8ke', 4.0), ('3z0', 6.0), ('98q', 5.0)]","[('8ke', 4.0), ('3z0', 5.0), ('98q', 0.0)]","[('8ke', 1.0), ('3z0', 1.0), ('98q', 2.0)]"
1zx,"['bty', '1ey', 'klf', '4w0', 'yyj', 'jjt', '1uq', '5sz', 'ej8', '26o', 'ayq']","['bty', '4w0', 'yyj', 'ej8', '26o', 'ayq']","['bty', '4w0', '26o']","['bty', '4w0']","['bty', '4w0', 'yyj', '26o', 'ayq']",[],"[('bty', 6.0), ('1ey', 7.0), ('klf', 6.0), ('4w0', 4.0), ('yyj', 5.0), ('jjt', 8.0), ('1uq', 9.0), ('5sz', 8.0), ('ej8', 8.0), ('26o', 4.0), ('ayq', 7.0)]","[('bty', 2.0), ('1ey', 5.0), ('klf', 0.0), ('4w0', 4.0), ('yyj', 2.0), ('jjt', 0.0), ('1uq', 0.0), ('5sz', 5.0), ('ej8', 2.0), ('26o', 3.0), ('ayq', 2.0)]","[('bty', 1.0), ('1ey', 2.0), ('klf', 2.0), ('4w0', 1.0), ('yyj', 1.0), ('jjt', 2.0), ('1uq', 2.0), ('5sz', 2.0), ('ej8', 1.0), ('26o', 1.0), ('ayq', 1.0)]"
iqk,"['msn', '8fi', 'qlq', 'ol7']","['msn', '8fi', 'qlq', 'ol7']","['msn', '8fi', 'qlq', 'ol7']",['msn'],"['msn', '8fi', 'qlq', 'ol7']",[],"[('msn', 3.0), ('8fi', 3.0), ('qlq', 3.0), ('ol7', 3.0)]","[('msn', 4.0), ('8fi', 4.0), ('qlq', 4.0), ('ol7', 4.0)]","[('msn', 1.0), ('8fi', 1.0), ('qlq', 1.0), ('ol7', 1.0)]"
k8p,"['yo0', '39j', 'gpm', 'vja']","['gpm', 'vja']","['39j', 'gpm']","['gpm', 'vja']","['yo0', '39j']",[],"[('yo0', 4.0), ('39j', 4.0), ('gpm', 4.0), ('vja', 5.0)]","[('yo0', 7.0), ('39j', 2.0), ('gpm', 4.0), ('vja', 4.0)]","[('yo0', 1.0), ('39j', 1.0), ('gpm', 1.0), ('vja', 1.0)]"
fyg,[],[],[],[],[],[],[],[],[]
w9x,"['joy', 'hxt', 'fno', 'g52', 'zit', 'fle', 'gd8', '2g7', 'j0g']","['joy', 'g52', 'j0g']",['joy'],['j0g'],[],"['zit', 'fle', 'gd8', '2g7', 'j0g']","[('joy', 2.0), ('hxt', 4.0), ('fno', 4.0), ('g52', 5.0), ('zit', 5.0), ('fle', 4.0), ('gd8', 4.0), ('2g7', 5.0), ('j0g', 3.0)]","[('joy', 0.0), ('hxt', 0.0), ('fno', 0.0), ('g52', 0.0), ('zit', 0.0), ('fle', 0.0), ('gd8', 0.0), ('2g7', 0.0), ('j0g', 3.0)]","[('joy', 1.0), ('hxt', 1.0), ('fno', 1.0), ('g52', 1.0), ('zit', 2.0), ('fle', 2.0), ('gd8', 2.0), ('2g7', 2.0), ('j0g', 2.0)]"
ljz,"['poi', 'vpi', 'ras', 'go4', 'fsu', 'wep']","['poi', 'vpi', 'ras', 'go4', 'fsu', 'wep']","['poi', 'vpi', 'ras', 'go4', 'fsu']","['poi', 'vpi', 'ras', 'go4', 'fsu', 'wep']","['poi', 'vpi', 'ras', 'go4', 'wep']",[],"[('poi', 6.0), ('vpi', 3.0), ('ras', 5.0), ('go4', 4.0), ('fsu', 5.0), ('wep', 5.0)]","[('poi', 5.0), ('vpi', 5.0), ('ras', 5.0), ('go4', 4.0), ('fsu', 5.0), ('wep', 5.0)]","[('poi', 1.0), ('vpi', 1.0), ('ras', 1.0), ('go4', 1.0), ('fsu', 1.0), ('wep', 2.0)]"
v0p,"['n3q', 'tmy', '7a9']","['n3q', '7a9']",[],[],[],"['n3q', 'tmy', '7a9']","[('n3q', 5.0), ('tmy', 2.0), ('7a9', 11.0)]","[('n3q', 6.0), ('tmy', 5.0), ('7a9', 6.0)]","[('n3q', 1.0), ('tmy', 2.0), ('7a9', 1.0)]"
58c,"['xfz', 'x27']",['xfz'],"['xfz', 'x27']","['xfz', 'x27']",['xfz'],[],"[('xfz', 5.0), ('x27', 5.0)]","[('xfz', 3.0), ('x27', 4.0)]","[('xfz', 1.0), ('x27', 1.0)]"
8mx,"['yvz', 'cx9']",['yvz'],"['yvz', 'cx9']",['yvz'],"['yvz', 'cx9']",['yvz'],"[('yvz', 7.0), ('cx9', 0.0)]","[('yvz', 1.0), ('cx9', 3.0)]","[('yvz', 1.0), ('cx9', 1.0)]"
ak1,[],[],[],[],[],[],[],[],[]
fle,"['zit', 'xfz', 'j0g', '2g7', 'erw', '4og', 'e8i']","['zit', 'xfz', 'j0g', '2g7', 'erw', '4og', 'e8i']","['zit', 'xfz', 'j0g', '2g7', 'erw', '4og', 'e8i']","['zit', 'j0g', 'erw']",[],[],"[('zit', 5.0), ('xfz', 5.0), ('j0g', 3.0), ('2g7', 2.0), ('erw', 6.0), ('4og', 3.0), ('e8i', 4.0)]","[('zit', 3.0), ('xfz', 4.0), ('j0g', 3.0), ('2g7', 5.0), ('erw', 2.0), ('4og', 3.0), ('e8i', 2.0)]","[('zit', 1.0), ('xfz', 1.0), ('j0g', 1.0), ('2g7', 1.0), ('erw', 2.0), ('4og', 2.0), ('e8i', 2.0)]"
bty,"['1ey', 'jjt', '1uq', '5sz', 'ej8', '26o', '1zx', 'ayq', '4w0']","['1ey', 'jjt', '1uq', '5sz', 'ej8', '26o', '1zx', 'ayq', '4w0']","['1uq', '26o', '4w0']","['1ey', '26o', '4w0']","['1ey', '5sz', '26o', 'ayq', '4w0']",[],"[('1ey', 4.0), ('jjt', 8.0), ('1uq', 8.0), ('5sz', 8.0), ('ej8', 8.0), ('26o', 8.0), ('1zx', 8.0), ('ayq', 6.0), ('4w0', 6.0)]","[('1ey', 7.0), ('jjt', 4.0), ('1uq', 5.0), ('5sz', 4.0), ('ej8', 4.0), ('26o', 5.0), ('1zx', 6.0), ('ayq', 4.0), ('4w0', 5.0)]","[('1ey', 2.0), ('jjt', 2.0), ('1uq', 2.0), ('5sz', 2.0), ('ej8', 2.0), ('26o', 1.0), ('1zx', 1.0), ('ayq', 1.0), ('4w0', 1.0)]"
svh,"['fsu', '8yu', '5nw']",[],[],[],[],"['fsu', '8yu', '5nw']","[('fsu', 5.0), ('8yu', 5.0), ('5nw', 6.0)]","[('fsu', 4.0), ('8yu', 6.0), ('5nw', 5.0)]","[('fsu', 1.0), ('8yu', 2.0), ('5nw', 3.0)]"
aq6,"['qip', 'cx9', 'r3x', 'qdi', '7w1']","['qip', 'r3x', 'qdi', '7w1']",['qip'],"['qip', 'r3x']","['qip', 'cx9', 'r3x', 'qdi', '7w1']",[],"[('qip', 4.0), ('cx9', 5.0), ('r3x', 5.0), ('qdi', 4.0), ('7w1', 5.0)]","[('qip', 4.0), ('cx9', 5.0), ('r3x', 3.0), ('qdi', 3.0), ('7w1', 3.0)]","[('qip', 1.0), ('cx9', 1.0), ('r3x', 1.0), ('qdi', 1.0), ('7w1', 1.0)]"
tz9,['ff5'],['ff5'],[],['ff5'],['ff5'],[],"[('ff5', 1.0)]","[('ff5', 4.0)]","[('ff5', 1.0)]"
4w0,"['yyj', '1ey', 'klf', 'bty', 'jjt', 'ej8', '5sz', '1uq', '26o', '1zx', 'ayq']","['yyj', '1ey', 'klf', 'bty', 'jjt', 'ej8', '5sz', '1uq', '26o', '1zx', 'ayq']","['bty', '26o', '1zx']","['yyj', 'klf', 'bty', 'jjt', 'ej8', '5sz', '1uq', '26o', '1zx', 'ayq']","['yyj', '1ey', '26o']",[],"[('yyj', 0.0), ('1ey', 0.0), ('klf', 0.0), ('bty', 6.0), ('jjt', 0.0), ('ej8', 0.0), ('5sz', 0.0), ('1uq', 0.0), ('26o', 4.0), ('1zx', 5.0), ('ayq', 0.0)]","[('yyj', 3.0), ('1ey', 8.0), ('klf', 7.0), ('bty', 4.0), ('jjt', 5.0), ('ej8', 3.0), ('5sz', 7.0), ('1uq', 8.0), ('26o', 4.0), ('1zx', 4.0), ('ayq', 3.0)]","[('yyj', 2.0), ('1ey', 2.0), ('klf', 2.0), ('bty', 1.0), ('jjt', 2.0), ('ej8', 2.0), ('5sz', 2.0), ('1uq', 2.0), ('26o', 1.0), ('1zx', 1.0), ('ayq', 2.0)]"
yyj,"['ayq', '1ey', 'jjt', 'bty', 'wom', 'hro', 'cav', '0fo', 'pfr', '5sz', '1uq', '1zx', '26o', 'ej8']","['ayq', 'bty', 'wom', 'hro', 'cav', '0fo', 'pfr', '1zx', '26o']","['ayq', 'wom', 'hro', 'pfr', '5sz']","['ayq', 'hro']","['ayq', 'bty', 'wom', 'hro', 'pfr']","['ayq', '1ey', 'jjt', 'bty', '5sz', '1uq', '1zx', '26o', 'ej8']","[('ayq', 2.0), ('1ey', 4.0), ('jjt', 9.0), ('bty', 7.0), ('wom', 3.0), ('hro', 4.0), ('cav', 4.0), ('0fo', 4.0), ('pfr', 5.0), ('5sz', 6.0), ('1uq', 9.0), ('1zx', 6.0), ('26o', 10.0), ('ej8', 7.0)]","[('ayq', 2.0), ('1ey', 5.0), ('jjt', 0.0), ('bty', 3.0), ('wom', 6.0), ('hro', 5.0), ('cav', 4.0), ('0fo', 5.0), ('pfr', 0.0), ('5sz', 8.0), ('1uq', 6.0), ('1zx', 6.0), ('26o', 4.0), ('ej8', 6.0)]","[('ayq', 1.0), ('1ey', 1.0), ('jjt', 1.0), ('bty', 1.0), ('wom', 2.0), ('hro', 2.0), ('cav', 2.0), ('0fo', 2.0), ('pfr', 2.0), ('5sz', 1.0), ('1uq', 1.0), ('1zx', 1.0), ('26o', 1.0), ('ej8', 1.0)]"
x27,"['00v', 'xfz', '58c']","['00v', 'xfz', '58c']",[],"['00v', 'xfz', '58c']",[],[],"[('00v', 8.0), ('xfz', 5.0), ('58c', 7.0)]","[('00v', 7.0), ('xfz', 3.0), ('58c', 5.0)]","[('00v', 1.0), ('xfz', 2.0), ('58c', 2.0)]"
y03,['mtz'],['mtz'],[],[],['mtz'],[],"[('mtz', 7.0)]","[('mtz', 6.0)]","[('mtz', 1.0)]"
erw,"['4og', 'poi', 'fle', 'e8i', 'f7n', 'ty0', '2wb', 'zit', 'iy3', 'pdp']","['4og', 'poi', 'fle', 'e8i', 'f7n', '2wb', 'zit', 'iy3', 'pdp']","['4og', 'e8i', 'f7n']","['4og', 'e8i', 'f7n', '2wb']","['4og', 'fle', 'e8i', 'f7n', '2wb']",['4og'],"[('4og', 4.0), ('poi', 2.0), ('fle', 7.0), ('e8i', 3.0), ('f7n', 4.0), ('2wb', 4.0), ('zit', 2.0), ('iy3', 3.0), ('pdp', 2.0)]","[('4og', 2.0), ('poi', 3.0), ('fle', 3.0), ('e8i', 2.0), ('f7n', 2.0), ('ty0', 3.0), ('2wb', 2.0), ('zit', 3.0), ('iy3', 3.0), ('pdp', 3.0)]","[('4og', 1.0), ('poi', 1.0), ('fle', 1.0), ('e8i', 1.0), ('f7n', 1.0), ('ty0', 2.0), ('2wb', 1.0), ('zit', 3.0), ('iy3', 4.0), ('pdp', 5.0)]"
klf,"['bty', 'f07', 'msn', 'yyj', '1uq', '26o', '1zx', '5sz', 'ayq', '1ey', 'ej8']","['bty', 'f07', 'msn', 'yyj', '1uq', '26o', '1zx', '5sz', 'ayq', '1ey', 'ej8']",['f07'],"['bty', '26o', 'ej8']",[],['f07'],"[('bty', 4.0), ('f07', 6.0), ('msn', 3.0), ('yyj', 9.0), ('1uq', 5.0), ('26o', 3.0), ('1zx', 3.0), ('5sz', 3.0), ('ayq', 7.0), ('1ey', 4.0), ('ej8', 6.0)]","[('bty', 3.0), ('f07', 2.0), ('msn', 3.0), ('yyj', 3.0), ('1uq', 5.0), ('26o', 4.0), ('1zx', 5.0), ('5sz', 4.0), ('ayq', 2.0), ('1ey', 6.0), ('ej8', 6.0)]","[('bty', 1.0), ('f07', 2.0), ('msn', 2.0), ('yyj', 1.0), ('1uq', 1.0), ('26o', 1.0), ('1zx', 1.0), ('5sz', 1.0), ('ayq', 1.0), ('1ey', 1.0), ('ej8', 1.0)]"
yvz,"['2g7', '8mx', 'cx9']","['2g7', '8mx', 'cx9']",['8mx'],['8mx'],"['8mx', 'cx9']",['8mx'],"[('2g7', 0.0), ('8mx', 3.0), ('cx9', 7.0)]","[('2g7', 4.0), ('8mx', 1.0), ('cx9', 3.0)]","[('2g7', 2.0), ('8mx', 1.0), ('cx9', 1.0)]"
pgw,['2hp'],['2hp'],[],[],[],[],"[('2hp', 5.0)]","[('2hp', 5.0)]","[('2hp', 2.0)]"
mtz,['y03'],['y03'],[],[],['y03'],[],"[('y03', 5.0)]","[('y03', 4.0)]","[('y03', 1.0)]"
9im,[],[],[],[],[],[],[],[],[]
44p,"['qip', 'qdi', 'cx9', '1cb', '3s1']","['qip', 'qdi', 'cx9', '1cb', '3s1']","['qip', 'qdi', 'cx9', '1cb', '3s1']","['qip', 'qdi', '1cb', '3s1']","['qip', 'qdi', 'cx9', '1cb', '3s1']",[],"[('qip', 6.0), ('qdi', 3.0), ('cx9', 4.0), ('1cb', 3.0), ('3s1', 3.0)]","[('qip', 5.0), ('qdi', 3.0), ('cx9', 2.0), ('1cb', 3.0), ('3s1', 3.0)]","[('qip', 1.0), ('qdi', 1.0), ('cx9', 1.0), ('1cb', 1.0), ('3s1', 1.0)]"
vkx,['15f'],['15f'],[],[],[],[],"[('15f', 7.0)]","[('15f', 7.0)]","[('15f', 8.0)]"
f4b,['1cb'],[],[],[],[],[],"[('1cb', 3.0)]","[('1cb', 3.0)]",[]
n64,"['hyf', 'nre', '98q', 'i8x', 'r9o', 'vrj', 'cx9']","['hyf', 'nre', '98q', 'i8x', 'r9o', 'vrj', 'cx9']",[],[],[],[],"[('hyf', 0.0), ('nre', 0.0), ('98q', 0.0), ('i8x', 0.0), ('r9o', 0.0), ('vrj', 0.0), ('cx9', 0.0)]","[('hyf', 4.0), ('nre', 4.0), ('98q', 4.0), ('i8x', 4.0), ('r9o', 4.0), ('vrj', 4.0), ('cx9', 4.0)]","[('hyf', 1.0), ('nre', 1.0), ('98q', 1.0), ('i8x', 4.0), ('r9o', 2.0), ('vrj', 0.0), ('cx9', 3.0)]"
2hp,['pgw'],['pgw'],[],[],[],[],"[('pgw', 5.0)]","[('pgw', 3.0)]","[('pgw', 1.0)]"
