Label,Aquaintance,Friend,Study,Support,Politics,OldFriend,Grade,LeftRight,Group
1k3,"['0fo', '8bz', 'g8f', 'mjb', 'qoh', '1ds']","['0fo', '8bz', 'g8f', 'qoh', '1ds']","['mjb', 'qoh', '1ds']","['0fo', '8bz', 'g8f', 'mjb', 'qoh', '1ds']","['8bz', 'g8f', 'qoh', '1ds', 'mjb']",[],"[('0fo', 5.0), ('8bz', 4.0), ('g8f', 4.0), ('mjb', 3.0), ('qoh', 3.0), ('1ds', 3.0)]","[('0fo', 6.0), ('8bz', 8.0), ('g8f', 8.0), ('mjb', 5.0), ('qoh', 5.0), ('1ds', 3.0)]","[('0fo', 2.0), ('8bz', 1.0), ('g8f', 1.0), ('mjb', 1.0), ('qoh', 1.0), ('1ds', 1.0)]"
snv,[],[],[],[],[],[],[],[],[]
cwn,"['oi6', '88o']","['oi6', '88o']",[],"['oi6', '88o']",['88o'],['88o'],"[('oi6', 4.0), ('88o', 4.0)]",[],"[('oi6', 1.0), ('88o', 2.0)]"
hjk,"['99v', 'yc4', 'om3', 'i9d']","['99v', 'yc4', 'om3', 'i9d']","['99v', 'om3']","['99v', 'yc4', 'om3', 'i9d']","['99v', 'yc4', 'om3']",['om3'],"[('99v', 6.0), ('yc4', 4.0), ('om3', 6.0), ('i9d', 5.0)]","[('99v', 2.0), ('yc4', 4.0), ('om3', 3.0), ('i9d', 0.0)]","[('99v', 1.0), ('yc4', 1.0), ('om3', 1.0), ('i9d', 2.0)]"
e42,"['n4r', 'l9e', '0fo', 'g52', 'wom', 'zrm', 'cav', 'hro', 'yyj']","['n4r', 'l9e', '0fo', 'g52', 'wom', 'zrm', 'cav', 'yyj']",[],[],['hro'],[],"[('n4r', 6.0), ('l9e', 6.0), ('0fo', 4.0), ('g52', 7.0), ('wom', 7.0), ('zrm', 7.0), ('cav', 7.0), ('hro', 7.0), ('yyj', 7.0)]","[('n4r', 4.0), ('l9e', 4.0), ('0fo', 2.0), ('g52', 7.0), ('zrm', 5.0), ('cav', 3.0), ('hro', 7.0), ('yyj', 7.0)]","[('n4r', 1.0), ('l9e', 1.0), ('0fo', 2.0), ('g52', 2.0), ('wom', 2.0), ('zrm', 2.0), ('cav', 2.0), ('hro', 2.0), ('yyj', 2.0)]"
n4r,"['e42', 'l9e']","['e42', 'l9e']","['e42', 'l9e']","['e42', 'l9e']",[],['e42'],"[('e42', 6.0), ('l9e', 6.0)]","[('e42', 4.0), ('l9e', 5.0)]","[('e42', 1.0), ('l9e', 1.0)]"
xfz,"['x27', '58c', 'gd8']",[],[],"['x27', '58c', 'gd8']","['x27', '58c', 'gd8']",[],"[('x27', 5.0), ('58c', 3.0), ('gd8', 6.0)]","[('x27', 5.0), ('58c', 3.0), ('gd8', 3.0)]","[('x27', 1.0), ('58c', 1.0), ('gd8', 2.0)]"
qoh,"['mjb', 'zrm', '1k3', '0fo', '8bz', 'e6v', 'g8f']","['mjb', 'zrm', '1k3', '0fo', '8bz', 'e6v', 'g8f']",[],[],[],[],"[('mjb', 7.0), ('1k3', 6.0), ('0fo', 7.0), ('8bz', 3.0), ('e6v', 4.0), ('g8f', 4.0)]","[('mjb', 4.0), ('zrm', 4.0), ('1k3', 3.0), ('0fo', 5.0), ('8bz', 5.0), ('e6v', 6.0), ('g8f', 6.0)]","[('mjb', 1.0), ('zrm', 1.0), ('1k3', 1.0), ('0fo', 2.0), ('8bz', 1.0), ('e6v', 1.0), ('g8f', 1.0)]"
k05,['scs'],['scs'],[],[],[],[],"[('scs', 7.0)]","[('scs', 4.0)]","[('scs', 1.0)]"
99v,"['hjk', 'yc4', 'om3']","['hjk', 'yc4', 'om3']",[],"['hjk', 'om3']",[],[],"[('hjk', 2.0), ('yc4', 4.0), ('om3', 5.0)]","[('hjk', 2.0), ('yc4', 3.0), ('om3', 3.0)]","[('hjk', 1.0), ('yc4', 1.0), ('om3', 1.0)]"
dq4,"['joy', 'w9x', 'hxt', '7y2', 'fno']","['joy', 'w9x', 'hxt', 'fno']",['7y2'],[],[],[],"[('joy', 2.0), ('w9x', 4.0), ('hxt', 2.0), ('7y2', 6.0), ('fno', 6.0)]","[('joy', 4.0), ('w9x', 4.0), ('hxt', 4.0), ('7y2', 4.0), ('fno', 4.0)]","[('joy', 1.0), ('w9x', 1.0), ('hxt', 3.0), ('7y2', 2.0), ('fno', 2.0)]"
bf1,['z3j'],['z3j'],[],[],[],[],"[('z3j', 5.0)]","[('z3j', 4.0)]","[('z3j', 1.0)]"
wu1,['1n8'],['1n8'],[],[],[],[],"[('1n8', 4.0)]","[('1n8', 0.0)]","[('1n8', 1.0)]"
fw2,"['scs', 'k05']",[],[],[],"['scs', 'k05']",[],"[('scs', 0.0), ('k05', 0.0)]","[('scs', 0.0), ('k05', 0.0)]","[('scs', 1.0), ('k05', 1.0)]"
cve,[],[],[],[],[],[],[],[],[]
