app_demographic.1.player.age,app_demographic.1.player.edu_family_1gen_f,app_demographic.1.player.edu_family_1gen_m,app_demographic.1.player.edu_family_2gen_f1,app_demographic.1.player.edu_family_2gen_f2,app_demographic.1.player.edu_family_2gen_m1,app_demographic.1.player.edu_family_2gen_m2,app_demographic.1.player.financial_situation_general_current,app_demographic.1.player.financial_situation_general_future,app_demographic.1.player.financial_situation_personal_current,app_demographic.1.player.financial_situation_personal_future,app_demographic.1.player.gender,app_demographic.1.player.postcode,app_demographic.1.player.secondary_year,app_demographic.1.player.time_work,app_end.1.player.feedback,app_end.1.player.network_narrative,app_end.1.player.rnumbercheck,app_end.1.player.time_endpage,app_end.1.player.time_firstendpage,app_political.1.player.lr_AfD,app_political.1.player.lr_BSW,app_political.1.player.lr_CDU,app_political.1.player.lr_CSU,app_political.1.player.lr_FDP,app_political.1.player.lr_Gruene,app_political.1.player.lr_Linke,app_political.1.player.lr_SPD,app_political.1.player.participation_demonstration,app_political.1.player.petition_signatory,app_political.1.player.politics_question_five,app_political.1.player.politics_question_four,app_political.1.player.politics_question_one,app_political.1.player.politics_question_seven,app_political.1.player.politics_question_six,app_political.1.player.politics_question_three,app_political.1.player.politics_question_two,app_political.1.player.scalo_afd,app_political.1.player.scalo_bsw,app_political.1.player.scalo_cdu,app_political.1.player.scalo_csu,app_political.1.player.scalo_fdp,app_political.1.player.scalo_gruene,app_political.1.player.scalo_linke,app_political.1.player.scalo_pep1,app_political.1.player.scalo_pep10,app_political.1.player.scalo_pep11,app_political.1.player.scalo_pep12,app_political.1.player.scalo_pep13,app_political.1.player.scalo_pep14,app_political.1.player.scalo_pep15,app_political.1.player.scalo_pep16,app_political.1.player.scalo_pep17,app_political.1.player.scalo_pep18,app_political.1.player.scalo_pep19,app_political.1.player.scalo_pep2,app_political.1.player.scalo_pep20,app_political.1.player.scalo_pep3,app_political.1.player.scalo_pep4,app_political.1.player.scalo_pep5,app_political.1.player.scalo_pep6,app_political.1.player.scalo_pep7,app_political.1.player.scalo_pep8,app_political.1.player.scalo_pep9,app_political.1.player.scalo_spd,app_political.1.player.social_networks_1,app_political.1.player.social_networks_10,app_political.1.player.social_networks_11,app_political.1.player.social_networks_12,app_political.1.player.social_networks_13,app_political.1.player.social_networks_2,app_political.1.player.social_networks_3,app_political.1.player.social_networks_4,app_political.1.player.social_networks_5,app_political.1.player.social_networks_6,app_political.1.player.social_networks_7,app_political.1.player.social_networks_8,app_political.1.player.social_networks_9,app_political.1.player.sunday_party_vote,app_start.1.player.browser,app_start.1.player.device_type,app_start.1.player.lang,app_start.1.player.operating_system,app_start.1.player.use_of_device,app_studium.1.player.affective_academic_stress,app_studium.1.player.consecutive_academic_career,app_studium.1.player.fresherscamp_student,app_studium.1.player.freshersweek_student,app_studium.1.player.grade,app_studium.1.player.motivation_extrinsic_goal_1,app_studium.1.player.motivation_extrinsic_goal_2,app_studium.1.player.motivation_extrinsic_goal_3,app_studium.1.player.motivation_extrinsic_goal_4,app_studium.1.player.motivation_intrinsic_goal_1,app_studium.1.player.motivation_intrinsic_goal_2,app_studium.1.player.motivation_intrinsic_goal_3,app_studium.1.player.resource_help,app_studium.1.player.resource_peer,app_studium.1.player.resource_time,app_studium.1.player.semester_of_study,app_studium.1.player.study_program,app_studium.1.player.time_class,app_studium.1.player.tutorial,participant.label,participant.time_started_utc,app_network.1.player.linksrechts_self
2003.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,2.0,86.0,2022.0,15.0,"Ich habe aus Versehen bei den Personen, die ich kenne auf weiter gedrückt und kann es gerade nicht ändern, entschuldigung.","Sehr gut, VL und Angebote der Fachschaft. ",wep_456486,-999,2025-10-28T14:34:39.779Z,11,3,9,8,7,6,1,6,1.0,1.0,4,2,4,4,4,3,2,1.0,1.0,2.0,3.0,3.0,5.0,10.0,10,9,1,2,1,1,1,1,7,6,5,3,11,11,7,1,7,1,2,4,7.0,,,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,,6.0,3.0,2.0,0.0,5.0,3.0,6.0,1.0,2.0,1.0,1.3,5.0,4.0,7.0,5.0,6.0,7.0,6.0,6.0,6.0,7.0,1.0,1.0,3.0,1.0,wep,2025-10-28 14:21:00.472419,4.0
2003.0,2.0,1.0,1.0,0.0,1.0,0.0,3.0,3.0,2.0,4.0,2.0,72.0,2021.0,20.0,war supi ,In vorlesungen an sich alles chillo ,hpc_256786,-999,2025-10-28T14:31:24.828Z,11,8,9,10,7,4,1,5,1.0,1.0,5,2,5,4,4,5,2,1.0,1.0,1.0,1.0,3.0,6.0,10.0,11,7,1,4,1,1,1,1,8,1,1,7,11,11,6,1,6,1,2,6,7.0,,,1.0,,,1.0,,1.0,,1.0,1.0,1.0,1.0,6.0,3.0,2.0,0.0,5.0,3.0,6.0,3.0,5.0,0.0,2.7,5.0,5.0,3.0,2.0,6.0,4.0,6.0,7.0,6.0,5.0,7.0,2.0,,1.0,hpc,2025-10-28 14:21:13.730133,2.0
2006.0,2.0,2.0,1.0,2.0,0.0,1.0,3.0,4.0,4.0,4.0,2.0,72.0,2025.0,0.0,i missed some ppl on the who i know list do the clicking error please add a back function ,aufgrund des Größe des Studiengangs ist es schwer Leute kennenzulernen jedoch sind die ersti Höfe sehr hilfreich dabei,1ey_974256,-999,2025-10-28T14:37:52.832Z,11,10,7,8,6,5,1,4,1.0,1.0,5,4,4,4,5,5,3,1.0,1.0,4.0,2.0,5.0,10.0,3.0,11,4,1,0,4,1,1,2,9,3,4,8,5,11,8,1,0,4,3,4,8.0,,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,7.0,5.0,3.0,0.0,1.0,1.0,2.0,1.0,4.0,1.0,0.0,4.0,4.0,5.0,6.0,6.0,5.0,5.0,6.0,3.0,5.0,1.0,1.0,3.0,4.0,1ey,2025-10-28 14:21:14.858866,5.0
2006.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,4.0,2.0,40.0,2024.0,0.0,,,5or_886325,-999,2025-10-28T14:36:03.093Z,10,8,7,8,7,4,3,5,2.0,1.0,4,3,4,4,4,4,3,1.0,3.0,7.0,3.0,7.0,4.0,3.0,7,6,3,0,4,1,1,1,4,4,4,0,4,9,0,2,0,3,4,0,6.0,,,1.0,1.0,,,,,,1.0,,1.0,1.0,0.0,4.0,3.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,2.7,5.0,6.0,6.0,6.0,6.0,2.0,3.0,6.0,4.0,6.0,1.0,1.0,20.0,5.0,5or,2025-10-28 14:21:16.411884,7.0
2006.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,2.0,46.0,2024.0,0.0,,"Die ersten Veranstaltungen waren eine gute Möglichkeit, neue Leute kennenzulernen, was in den Vorlesungen selbst sonst nicht wirklich möglich ist.",f1r_834185,-999,2025-10-28T14:44:29.929Z,10,9,8,9,5,4,2,6,1.0,1.0,4,2,4,3,3,4,3,1.0,4.0,3.0,2.0,3.0,8.0,9.0,5,5,1,0,5,1,1,1,5,2,5,7,7,9,0,1,0,3,2,0,5.0,,1.0,1.0,1.0,,,,,1.0,1.0,,1.0,,7.0,2.0,3.0,0.0,3.0,1.0,6.0,0.0,5.0,1.0,2.0,6.0,0.0,3.0,5.0,5.0,4.0,5.0,3.0,0.0,5.0,1.0,1.0,6.0,5.0,f1r,2025-10-28 14:21:17.944016,4.0
2005.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,0.0,3.0,4.0,1.0,0.0,2023.0,0.0,,im international so i have different activities that help me engage  ,cuz_380173,-999,2025-10-28T14:33:44.691Z,0,0,0,0,0,0,0,0,1.0,1.0,5,1,1,4,5,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4,2,9,6,0,0,0,1,0,0,0,0,0,0,0,0.0,1.0,,,,,,1.0,1.0,,1.0,,1.0,,11.0,3.0,3.0,1.0,2.0,1.0,7.0,0.0,5.0,1.0,2.3,4.0,1.0,5.0,7.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,1.0,,5.0,cuz,2025-10-28 14:21:18.945466,6.0
2005.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,2.0,3.0,1.0,74.0,2024.0,0.0,,I meet people the first week just by introducing myself and trying to find people that fit my character. ,199_533870,-999,2025-10-28T14:42:22.783Z,11,8,9,9,9,6,2,6,1.0,1.0,4,3,4,4,4,0,2,1.0,3.0,1.0,1.0,1.0,5.0,11.0,1,8,1,10,1,1,1,1,7,1,5,4,11,6,6,1,10,5,1,1,4.0,,,,,,,,1.0,,1.0,1.0,1.0,1.0,6.0,3.0,3.0,0.0,2.0,2.0,7.0,0.0,5.0,1.0,3.0,4.0,4.0,6.0,7.0,5.0,4.0,6.0,5.0,4.0,5.0,1.0,1.0,2.0,3.0,199,2025-10-28 14:21:20.414319,1.0
2003.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,2.0,78.0,2024.0,10.0,,Coole uni. ,vrj_591193,-999,2025-10-28T14:50:16.468Z,11,4,8,9,7,5,1,6,2.0,1.0,4,2,4,4,5,4,3,1.0,1.0,9.0,9.0,8.0,4.0,2.0,9,7,1,3,9,1,3,2,6,6,5,6,1,3,4,1,3,9,11,7,7.0,,,1.0,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,2.0,2.0,4.0,0.0,3.0,1.0,2.3,6.0,0.0,7.0,7.0,6.0,6.0,7.0,6.0,5.0,6.0,1.0,1.0,,3.0,vrj,2025-10-28 14:21:22.488326,7.0
2005.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,3.0,2.0,4.0,2.0,78.0,2024.0,8.0,,,gh9_352560,-999,2025-10-28T14:36:58.155Z,11,2,8,9,6,3,1,4,1.0,1.0,4,3,5,4,4,4,4,1.0,1.0,11.0,10.0,9.0,3.0,1.0,10,9,1,0,10,1,1,6,7,8,9,6,1,7,0,1,1,9,9,8,6.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,3.0,2.0,0.0,5.0,2.0,1.0,1.0,4.0,1.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,6.0,6.0,3.0,4.0,3.0,1.0,2.0,1.0,gh9,2025-10-28 14:21:26.195329,8.0
2005.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,78.0,2025.0,25.0,,,z3j_191080,-999,2025-10-28T14:37:16.863Z,8,8,7,7,5,5,3,5,2.0,2.0,5,2,4,5,0,2,2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.0,,,,,,1.0,,1.0,,1.0,,1.0,1.0,10.0,3.0,2.0,0.0,5.0,3.0,7.0,1.0,4.0,1.0,2.7,7.0,5.0,7.0,7.0,5.0,2.0,4.0,6.0,4.0,5.0,1.0,1.0,2.0,3.0,z3j,2025-10-28 14:21:32.888554,0.0
